Model,Accuracy,Recall,Precision,F1 Score,MAE,MSE,R2
SVM,0.14,0.14,0.1340526183717634,0.11970040854246553,1.3714285714285714,3.0,0.7618590931594268
Random Forest,0.11714285714285715,0.11714285714285715,0.11911939794442174,0.06581314172802476,1.2457142857142858,2.48,0.8031368503451262
MLP,0.10857142857142857,0.10857142857142857,0.030623083131557708,0.043946641675722556,1.4028571428571428,3.1285714285714286,0.7516530542948308
KNN,0.10285714285714286,0.10285714285714286,0.05976633285646161,0.04391197164548132,1.6228571428571428,4.685714285714286,0.6280465836013904
Naive Bayes,0.12571428571428572,0.12571428571428572,0.13721750805585392,0.10593975838411274,1.2885714285714285,2.5171428571428573,0.8001884391175762
Voting (Unweighted),0.12571428571428572,0.12571428571428572,0.1360281770830372,0.07955717014541872,1.2771428571428571,2.6314285714285712,0.7911164045712686
Voting (Weighted),0.11428571428571428,0.11428571428571428,0.11072194459452407,0.081777208393403,1.2714285714285714,2.46,0.80472445639073
LGBM (Only Predictions),0.07714285714285714,0.07714285714285714,0.07450296138355839,0.05850075905494519,2.0171428571428573,5.04,0.5999232765078369
LGBM (All Features),0.15142857142857144,0.15142857142857144,0.13091292118020229,0.12625992305865197,1.22,2.1914285714285713,0.8260437375745526
SVM,0.15428571428571428,0.15428571428571428,0.5348390206284944,0.133277193491514,1.2,2.1542857142857144,0.8289921488021026
Random Forest,0.15142857142857144,0.15142857142857144,0.10617837760187021,0.1132960699309594,1.1285714285714286,1.8771428571428572,0.8509918325768985
MLP,0.15428571428571428,0.15428571428571428,0.12524701550065767,0.12259298499611122,1.3342857142857143,2.66,0.7888483959346917
KNN,0.12857142857142856,0.12857142857142856,0.07973636680906782,0.09054097713109034,1.24,2.28,0.8190129108011643
Naive Bayes,0.15142857142857144,0.15142857142857144,0.5299105542757822,0.1287468071487731,1.22,2.2485714285714287,0.821507720301399
Average (Unweighted),0.17714285714285713,0.17714285714285713,0.15522310943474057,0.14302701294329906,1.14,1.9914285714285713,0.8419197980305909
Average (Weighted),0.1657142857142857,0.1657142857142857,0.13570638328533063,0.13041880682558646,1.1428571428571428,1.9714285714285715,0.8435074040761947
LGBM (Only Predictions),0.07714285714285714,0.07714285714285714,0.07450296138355839,0.05850075905494519,2.0171428571428573,5.04,0.5999232765078369
LGBM (All Features),0.15142857142857144,0.15142857142857144,0.13091292118020229,0.12625992305865197,1.22,2.1914285714285713,0.8260437375745526
